,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
25,0.0,0.0,42,0.0,0.0,0.0,2.196666638,5.826666672999999,11.0,198.0
26,0.0,0.0,42,0.0,0.0,0.0,2.7611111010000005,5.683333291,8.5,60.97222222
27,0.0,0.0,42,0.0,0.0,0.0,2.188888894,5.699444434,12.5,179.2088745
28,0.0,0.0,39,0.0,0.0,0.0,2.175000012,5.350000024,2.0,233.5
29,0.0,0.0,39,0.0,0.0,0.0,2.270238076,5.472619074,4.5,233.2666667
30,0.0,0.0,39,0.0,0.0,0.0,2.205098035,5.672549015,13.5,246.2811355
31,0.0,0.0,39,0.0,0.0,0.0,2.258541651,5.617083331,14.5,251.5436508
32,0.0,0.0,39,0.0,0.0,0.0,2.102573489,5.729963217999999,14.5,245.4674603
33,0.0,0.0,39,0.0,0.0,0.0,2.202573531,5.871875007000001,15.0,217.03125
34,0.0,0.0,39,0.0,0.0,0.0,2.238909781,5.925563884,13.0,247.10119049999997
35,0.0,0.0,40,0.0,0.0,0.0,2.183333357,5.349999984,2.5,233.5
